text,label,Disease
"The mildest form of histoplasmosis cause no sign or symptoms. But severe infection can be life-threatening. When sign and symptom occur, they usually appear 3 to 17 day after exposure and can include: Fever Chills Headache Muscle ache Dry cough Chest pain Tiredness Some people with histoplasmosis also get joint pain and a rash. People who have a lung disease, such a emphysema, can develop chronic histoplasmosis. Signs of chronic histoplasmosis can include weight loss and a bloody cough. Chronic histoplasmosis symptom sometimes mimic those of tuberculosis. Severe histoplasmosis The most severe variety of histoplasmosis occurs mainly in infant and in people with weakened immune systems. Called disseminated histoplasmosis, it can affect nearly any part of your body, including your mouth, liver, central nervous system, skin and adrenal glands. If untreated, disseminated histoplasmosis is usually fatal.",482,Histoplasmosis
"fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",766,Pneumonia
"chill,vomiting,fatigue,weight loss,cough,high fever,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",1019,Tuberculosis
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,abdominal pain,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",465,Hepatitis B
"fatigue,weight loss,restlessness,lethargy,irregular sugar level,blurred and distorted vision,obesity,excessive hunger,increased appetite,polyuria",285,Diabetes 
"Early meningitis symptom may be similar to the flu. Symptoms may develop over several hour or over a few days. Possible symptom in anyone older than the age of 2 year include: Sudden high fever. Stiff neck. Severe headache. Nausea or vomiting. Confusion or trouble concentrating. Seizures. Sleepiness or trouble waking. Sensitivity to light. No appetite or thirst. Skin rash in some cases, such a in meningococcal meningitis. Signs in newborn Newborns and infant may show these signs: High fever. Constant crying. Being very sleepy or irritable. Trouble waking from sleep. Being inactive or sluggish. Not waking to eat. Poor feeding. Vomiting. A bulge in the soft spot on top of the baby's head. Stiffness in the body and neck. Infants with meningitis may be hard to comfort. They may even cry harder when held.",614,Meningitis
"skin rash,pus filled pimples,blackhead",7,Acne
"fatigue,mood swings,weight loss,restlessness,sweating,diarrhoea,fast heart rate,excessive hunger,muscle weakness,irritability,abnormal menstruation",502,Hyperthyroidism
"acidity,indigestion,headache,blurred and distorted vision,excessive hunger,stiff neck,depression,irritability,visual disturbances",630,Migraine
"Signs and symptom of a poison ivy rash include: Redness Itching Swelling Blisters Difficulty breathing, if you've inhaled the smoke from burning poison ivy Poison ivy rash often appears in a straight line because of the way the plant brush against your skin. But if you develop a rash after touching a piece of clothing or pet fur that ha urushiol on it, the rash may be more spread out. You can also transfer the oil to other part of your body with your fingers. The reaction usually develops 12 to 48 hour after exposure and last two to three weeks. The severity of the rash depends on the amount of urushiol that get on your skin.",769,Poison Ivy
"stomach pain,acidity,ulcers on tongue,vomiting,cough,chest pain",412,Gerd
"chill,vomiting,fatigue,weight loss,cough,breathlessness,sweating,loss of appetite,mild fever,yellowing of eyes,swelled lymph nodes,malaise,phlegm,chest pain,blood in sputum",1019,Tuberculosis
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",822,Psoriasis
"joint pain,neck pain,knee pain,hip joint pain,swelling joints,painful walking",700,Osteoarthristis
"itching,fatigue,lethargy,yellowish skin,dark urine,loss of appetite,yellow urine,yellowing of eyes,malaise,receiving blood transfusion,receiving unsterile injections",465,Hepatitis B
"The two main feature of amnesia are: Trouble learning new information. Trouble remembering past event and previously familiar information. Most people with amnesia have problem with short-term memory, so they can't retain new information. Recent memory are most likely to be lost. More-remote or deeply ingrained memory may be spared. For example, people may recall experience from childhood or know the name of past presidents. But they may not be able to name the current president, know the month or remember what they ate for breakfast. Isolated memory loss doesn't affect a person's intelligence, general knowledge, awareness or attention span. It also doesn't affect judgment, personality or identity. People with amnesia usually can understand written and spoken word and can learn skill such a bike riding or piano playing. They may understand they have a memory disorder. Amnesia isn't the same a dementia. Dementia often includes memory loss but also involves other problem with thinking that lead to a decline in daily functioning. These problem include having trouble with language, judgment and visual-spatial skills. Memory loss also is a common symptom of mild cognitive impairment. This disorder involves memory and other cognitive problem that aren't a severe a those experienced in dementia. Additional symptom Depending on the cause of the amnesia, other symptom may include: False memory that are either completely invented or are real memory misplaced in time. Confusion or disorientation.",41,Amnesia
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred and distorted vision,excessive hunger,slurred speech,irritability,palpitation",504,Hypoglycemia
"back pain,weakness in limbs,neck pain,dizziness,loss of balance",186,Cervical Spondylosis
"muscle wasting,patches in throat,high fever,extra marital contacts",27,Aids
"Petechiae Open pop-up dialog box Close Petechiae Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Petechiae Open pop-up dialog box Petechiae Open pop-up dialog box Open pop-up dialog box Close Petechiae Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Close Petechiae Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Close Petechiae Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Close Close Close Petechiae Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Petechiae Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Petechiae may look like a rash and usually appear in clusters. Here they appear on a leg (A) and on an abdomen (B). Immune thrombocytopenia may have no sign and symptoms. When they do occur, they may include: Easy or excessive bruising Superficial bleeding into the skin that appears a pinpoint-sized reddish-purple spot (petechiae) that look like a rash, usually on the lower leg Bleeding from the gum or nose Blood in urine or stool Unusually heavy menstrual flow",512,Idiopathic Thrombocytopenic Purpura
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails,inflammatory nails",822,Psoriasis
I have a lot of varicose vein on my leg and they are really painful. I also get cramp in my leg a lot.,1047,Varicose Veins
"chill,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",766,Pneumonia
"I've been coughing for days. My nose is stuffy, and my face hurts. I've been coughing up phlegm, and it hurt to cough. I can't smell anything, and my muscle ache.",234,Common Cold
"joint pain,vomiting,yellowish skin,dark urine,nausea,loss of appetite,abdominal pain,diarrhoea,mild fever,yellowing of eyes,muscle pain",464,Hepatitis A
"A seborrheic keratosis grows gradually. Signs and symptom might include: A round or oval-shaped waxy or rough bump, typically on the face, chest, a shoulder or the back A flat growth or a slightly raised bump with a scaly surface, with a characteristic ""pasted on"" look Varied size, from very small to more than 1 inch (2.5 centimeters) across Varied number, ranging from a single growth to multiple growth Very small growth clustered around the eye or elsewhere on the face, sometimes called flesh mole or dermatosis papulosa nigra, common on Black or brown skin Varied in color, ranging from light tan to brown or black Itchiness",892,Seborrheic Keratosis
"vomiting,sunken eyes,dehydration,diarrhoea",402,Gastroenteritis
"skin rash,joint pain,skin peeling,silver like dusting,small dents in nails",822,Psoriasis
"vomiting,headache,weakness of one body side,altered sensorium",718,Paralysis (Brain Hemorrhage)
"chill,fatigue,cough,high fever,breathlessness,sweating,malaise,phlegm,chest pain,fast heart rate,rusty sputum",766,Pneumonia
"vomiting,fatigue,anxiety,sweating,headache,nausea,excessive hunger,drying and tingling lips,slurred speech,irritability,palpitation",504,Hypoglycemia
"Septic arthritis typically cause extreme discomfort and difficulty using the affected joint. The joint could be swollen, red and warm, and you might have a fever. If septic arthritis occurs in an artificial joint (prosthetic joint infection), sign and symptom such a minor pain and swelling may develop month or year after knee replacement or hip replacement surgery. Also, a loosening of the joint may occur, which cause pain while moving the joint or while putting weight on the joint. Typically, the pain go away when at rest. In extreme cases, the joint may become dislocated.",123,Bone And Joint Infections
